"Symbol","Name","Price","Bid","Ask","Change ($)","Change (%)","52wk Hi","52wk Lo","Day Hi","Day Lo","Volume","Market Cap","Sector"
"TSLA","Tesla","661.75","661.01","661.33","-6.6","-0.99","900.4","89.28","692.4203","659.499","34484783","635183056272","Consumer Discretionary"
"TWTR","Twitter","63.88","63.66","64.05","0.22","0.35","80.75","22.36","66.36","63.65","14236297","50985980933","Communication Services"
"UAL","United Airlines Holdings","57.82","57.82","57.92","0.28","0.49","63.6999","18.18","58.54","57.28","10515928","18709238907","Industrials"
"UBER","Uber Technologies","57.61","57.51","57.67","3.1056","5.7","64.05","21.67","57.63","54.81","17954854","107206797137","Industrials"
"USO","United States Oil Fund","41.84","40.97","42.14","-0.01","-0.02","44.64","2.11","42.17","40.3","11355673","",""
"V","Visa","216.98","216.69","216.98","5.17","2.44","228.2298","150.6","217.74","212.38","5498628","463746074442","Information Technology"
"WBA","Walgreens Boots Alliance","54.75","54.76","54.77","-0.15","-0.27","56.12","33.36","55.4664","53.16","7457154","47325594385","Consumer Staples"
"WFC","Wells Fargo","39.61","39.05","39.8","0.54","1.38","41.54","20.76","39.64","38.93","19722692","163753459485","Financials"
"WIFI","Boingo Wireless","14.11","14.07","14.34","0.03","0.21","15.92","8.69","14.34","14.08","809749","630977992","Communication Services"
"WKHS","Workhorse Group","14.14","14.05","14.2","0.355","2.58","42.96","1.57","14.91","13.99","10037776","1794436855","Consumer Discretionary"
"XOM","Exxon Mobil","57.35","57","57.42","1.55","2.78","62.55","31.11","57.45","56.14","21231012","242792530687","Energy"
"XPEL","XPEL","54.76","53","56","2.83","5.45","65.7399","8.428","54.92","53.0756","132039","1512065811","Consumer Discretionary"
"ZM","Zoom Video Communications","326.23","326.16","326.23","4.92","1.53","588.84","108.5301","338.91","325.5","2629944","95818332900","Information Technology"
exported from Benzinga Pro
